customer_id,snapshot_date,age_band,gender,city,district,branch_code,branch_name,customer_tenure_months,occupation_category,income_band,customer_type,total_accounts,has_savings,has_current_account,has_deposit,has_loan,has_mobile_banking,has_internet_banking,product_holding_count,avg_savings_balance_3m,avg_deposit_balance_3m,total_deposit_balance,outstanding_loan_balance,monthly_avg_transaction_amount,monthly_transaction_count,days_since_last_transaction,active_months_last_6m,debit_transaction_count_3m,credit_transaction_count_3m,digital_login_count_3m,atm_transaction_count_3m,branch_transaction_count_3m,customer_segment,segment_description,segment_score,dormant_flag,dormant_risk_level,dormant_probability,dormant_reason_code,recommended_campaign,recommended_channel,next_best_action,credit_score,credit_risk_label,churn_probability,churn_risk_label,loan_type,digital_banking_adoption,lat,lng,segmentation_model_version,dormant_model_version,scoring_timestamp
CUST000000001,2026-06-01,>65,M,Jakarta Barat,Jakarta Barat,BXY174,Cabang Jakarta Barat,140,UMKM,<5jt,SME,1,True,True,True,True,True,False,4,73398992.92,42127172.38,49848222.24,1065463494.11,1611692.81,6,16,6,10,14,18,34,4,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.8449,False,LOW,0.0769,NO_DIGITAL_LOGIN,SME Advisory,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,670,FAIR,0.0454,LOW,KTA,Passive,-6.180397,106.794222,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000002,2026-06-01,36-45,M,Kediri,Kediri,BXY864,Cabang Kediri,128,Wiraswasta,25-50jt,SME,6,True,False,True,True,True,True,5,3395193.86,40373541.6,48947270.2,92446145.69,1505720.04,74,19,5,192,164,38,22,5,Digital Active,Nasabah aktif di channel digital,0.9655,False,LOW,0.1218,NORMAL_ACTIVITY,Upgrade Digital Banking,Mobile Banking,Dorong penggunaan fitur digital dan transaksi rutin.,583,POOR,0.0172,LOW,KKB,Active,-7.804939,112.020518,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000003,2026-06-01,56-65,F,Kediri,Kediri,BXY713,Cabang Kediri,184,UMKM,25-50jt,SME,2,True,True,True,True,False,False,2,216663948.18,71395038.62,69100053.35,336178753.75,8755004.73,44,8,4,106,104,17,24,12,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.9361,False,LOW,0.1187,NO_DIGITAL_LOGIN,SME Advisory,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,552,POOR,0.2036,LOW,KTA,None,-7.813856,111.998919,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000004,2026-06-01,36-45,F,Kendari,Kendari,BXY743,Cabang Kendari,190,Petani/Nelayan,5-10jt,SME,3,True,False,True,False,True,True,2,15927410.59,13414676.96,14746426.11,9026002.37,10119625.95,45,4,6,89,31,18,31,12,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.8007,False,LOW,0.0695,NORMAL_ACTIVITY,SME Advisory,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,629,POOR,0.1049,LOW,None,Passive,-4.0334,122.490738,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000005,2026-06-01,56-65,M,Samarinda,Samarinda,BXY549,Cabang Samarinda,41,Pensiunan,25-50jt,Individual,5,True,False,True,True,True,False,3,28711421.46,58440850.85,62423082.6,69770044.37,8524070.05,70,3,3,24,49,5,20,12,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.773,False,LOW,0.2009,BALANCE_DECLINE,Loan Restructure Outreach,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,596,POOR,0.169,LOW,KKB,Passive,-0.463253,117.136346,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000006,2026-06-01,>65,F,Banda Aceh,Banda Aceh,BXY780,Cabang Banda Aceh,193,UMKM,5-10jt,SME,6,True,True,True,True,True,True,2,73389227.34,35632214.05,39699048.81,781314739.34,9479827.57,22,128,4,46,23,20,50,6,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.9533,False,LOW,0.3208,BALANCE_DECLINE,Loan Restructure Outreach,SMS Campaign,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,585,POOR,0.2594,LOW,KTA,Active,5.57535,95.321649,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000007,2026-06-01,26-35,F,Solo,Solo,BXY317,Cabang Solo Slamet Riyadi,173,Pegawai,>50jt,SME,6,True,True,False,True,True,True,4,9335403.14,4275989.04,4690261.26,303089993.59,7225518.23,19,25,6,34,26,11,28,6,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.9426,False,LOW,0.0439,NORMAL_ACTIVITY,Cross-sell Deposito,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,471,BAD,0.1247,LOW,KKB,Passive,-7.536516,110.792778,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000008,2026-06-01,>65,F,Kediri,Kediri,BXY423,Cabang Kediri,207,Profesional,<5jt,SME,6,True,False,True,True,False,False,2,12075260.16,47666516.56,50450127.37,11465535.15,401564.68,42,0,3,107,12,6,14,5,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.71,False,LOW,0.1384,MATURED_DEPOSIT,Cross-sell Deposito,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,666,FAIR,0.1456,LOW,KTA,None,-7.81976,111.994346,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000009,2026-06-01,36-45,F,Batam,Batam,BXY501,Cabang Batam,128,Pensiunan,>50jt,Individual,6,True,False,True,True,False,False,1,20999814.29,35571254.55,43988996.49,599080637.26,9759103.61,16,24,5,44,8,0,20,3,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.8451,False,LOW,0.2355,MATURED_DEPOSIT,Payroll Bundle,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,605,POOR,0.2594,LOW,KKB,None,1.126044,104.075913,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000010,2026-06-01,>65,F,Palembang,Palembang,BXY900,Cabang Palembang,198,UMKM,>50jt,SME,6,True,True,True,True,False,False,4,14760654.5,9579896.02,10434699.94,63915650.03,6043034.82,61,12,5,7,58,7,1,12,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.7489,False,LOW,0.1147,BALANCE_DECLINE,Loan Restructure Outreach,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,744,FAIR,0.0354,LOW,KKB,None,-3.011174,104.7328,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
