customer_id,related_customer_id,relationship_type,risk_weight,is_active
9S$FD7z0,g%<mj&z&,guarantor,0.834,true
9S$FD7z0,5myF0&83,co_borrower,0.722,true
9S$FD7z0,5m%jjy8d,same_employer,0.505,true
9S$FD7z0,5X<FD%82,guarantor,0.893,true
5X<6byed,5%<$SB1j,same_employer,0.365,true
5X<6byed,5Xy*m%12,same_branch,0.306,true
5X<6byed,5X<F%y1b,same_branch,0.138,true
5X<6byed,9!y$j&jM,same_employer,0.402,true
i<Hz0(C3,FX%@n&$2,guarantor,0.889,true
i<Hz0(C3,g<czSyzd,guarantor,0.906,true
i<Hz0(C3,iSF6j7$d,guarantor,0.988,true
i<Hz0(C3,5X<Fj&(3,guarantor,0.899,true
i<Hz0(C3,5%%80$80,co_borrower,0.944,true
5m<jj(88,5Xkzj)$&,co_borrower,0.74,true
5m<jj(88,iX<@%%z&,same_employer,0.577,true
5m<jj(88,5#k6m&Cj,co_borrower,0.865,true
5m<jj(88,5X<6&%1b,co_borrower,0.743,true
MXy6V)(8,5XymVq88,same_branch,0.334,true
MXy6V)(8,5&y$0)1d,same_employer,0.393,true
MXy6V)(8,5#(6D7CK,co_borrower,0.734,true
MXy6V)(8,gm(6SB80,guarantor,0.922,true
MXy6V)(8,Xv%jSqz3,guarantor,0.877,true
5X<$VrC0,5%<8V)$M,guarantor,0.89,true
5X<$VrC0,5oc$SBCK,co_borrower,0.916,true
5X<$VrC0,5XH6%%$K,guarantor,0.829,true
5S<$&)$M,5&czDqj&,co_borrower,0.736,true
5S<$&)$M,5%$jSB(M,co_borrower,0.802,true
5S<$&)$M,5!y$Vy(3,same_branch,0.18,true
5S<$&)$M,5oc6m&(0,guarantor,0.961,true
FX%@mqeb,5<$6V%$&,same_branch,0.146,true
FX%@mqeb,5XF$Dqz2,co_borrower,0.703,true
FX%@mqeb,9!y*myC0,same_branch,0.154,true
gok8D%(b,gXyj%7x0,co_borrower,0.796,true
gok8D%(b,gSkFbqC&,same_branch,0.123,true
gok8D%(b,5Sy8j(zd,same_branch,0.28,true
gok8D%(b,M#LgS(1M,guarantor,0.844,true
5SH*Drej,iSLFj%e8,co_borrower,0.778,true
5SH*Drej,9!y$0&Jb,same_branch,0.155,true
5SH*Drej,5o$60%(b,same_branch,0.196,true
5SH*Drej,F%k@j7C8,guarantor,0.968,true
5SH*Drej,5#cFm)$j,guarantor,0.813,true
gocz&BJM,5mF60rxj,same_branch,0.297,true
gocz&BJM,5vHjm)xj,guarantor,0.882,true
gocz&BJM,g%c6bq1M,co_borrower,0.907,true
gocz&BJM,MX<F&B82,co_borrower,0.87,true
5mLg&$x&,5o<zS&J0,same_branch,0.149,true
5mLg&$x&,MS%F0B$b,co_borrower,0.786,true
5mLg&$x&,g<$FS$x2,same_employer,0.589,true
5mLg&$x&,NSkzbr(d,co_borrower,0.867,true
5mLg&$x&,5<cFSBJb,same_employer,0.497,true
m<F8V(e3,g%HFD)C3,same_employer,0.422,true
m<F8V(e3,5%%mn&(3,same_branch,0.101,true
m<F8V(e3,5XkFj7(K,guarantor,0.8,true
m<F8V(e3,5X<Fb)e0,co_borrower,0.945,true
m<F8V(e3,m<F$%(1b,same_branch,0.296,true
5vFFm%8d,gvFFb7xd,same_branch,0.287,true
5vFFm%8d,M<<Fm%Cd,same_employer,0.468,true
5vFFm%8d,5%<8&&8j,same_employer,0.531,true
5vFFm%8d,F%k@0(C0,co_borrower,0.95,true
9!y$0&Jb,5o%Fmq18,co_borrower,0.94,true
9!y$0&Jb,gokFS&$j,guarantor,0.984,true
9!y$0&Jb,5S%@m$1j,same_employer,0.472,true
9!y$0&Jb,5Sc@m(j0,co_borrower,0.948,true
5mH@bre8,FS<$b%J&,guarantor,0.85,true
5mH@bre8,5SFzS(83,co_borrower,0.925,true
5mH@bre8,9m$F0782,same_branch,0.205,true
5mH@bre8,XmyFV%(K,same_branch,0.19,true
goLFb&e2,5#yzmq(8,co_borrower,0.911,true
goLFb&e2,5X%mSB(&,same_employer,0.548,true
goLFb&e2,M#<Fmy83,same_branch,0.243,true
5S(jV&jb,m<H6nrz3,same_branch,0.266,true
5S(jV&jb,F%kg0%JM,same_branch,0.16,true
5S(jV&jb,iS<zV%Jd,guarantor,0.822,true
5S(jV&jb,5X<6V&$&,same_employer,0.401,true
5S(jV&jb,gX(jV%e3,same_employer,0.504,true
5!(zm)(3,gSHzm7(2,same_employer,0.396,true
5!(zm)(3,j%%F0$J&,co_borrower,0.847,true
5!(zm)(3,5%(8j$x8,co_borrower,0.712,true
5!(zm)(3,g%y8&B(j,guarantor,0.944,true
5<$gS%(M,g%%m0r$2,same_branch,0.274,true
5<$gS%(M,gok60B80,guarantor,0.822,true
5<$gS%(M,5S<zS(zM,co_borrower,0.864,true
5X<@n7$b,5S<z&r83,guarantor,0.947,true
5X<@n7$b,FS<@D(z2,co_borrower,0.863,true
5X<@n7$b,gXcF0qJK,same_branch,0.286,true
5v%$m)x&,5S%8D710,same_employer,0.345,true
5v%$m)x&,5Xy*bqxd,co_borrower,0.828,true
5v%$m)x&,5!(FDq(K,guarantor,0.965,true
5XF$b)z2,iX<8V(x3,co_borrower,0.89,true
5XF$b)z2,5!L6mqj&,same_employer,0.532,true
5XF$b)z2,gSyj0%jd,same_branch,0.147,true
5XF$b)z2,FokF%7Jb,co_borrower,0.737,true
5XF$b)z2,9S<zSBx3,same_employer,0.519,true
5vyj0q1&,F!$@bBJ3,co_borrower,0.898,true
5vyj0q1&,MXyzm)(j,same_employer,0.47,true
5vyj0q1&,g!F$&rj0,same_employer,0.562,true
5X<Fn(zb,9X<zSyz3,same_branch,0.319,true
5X<Fn(zb,5Xk$0((8,same_branch,0.193,true
5X<Fn(zb,mS<jnyj&,co_borrower,0.846,true
5X%jb&82,iX<z%(xM,co_borrower,0.733,true
5X%jb&82,5oFjny83,co_borrower,0.902,true
5X%jb&82,5!HzjrxM,co_borrower,0.823,true
5SH@mBej,5Xy$&782,co_borrower,0.852,true
5SH@mBej,g%(6nr(d,co_borrower,0.866,true
5SH@mBej,5S$jn)1d,same_branch,0.194,true
5o%6&&CK,FokF&&zM,same_employer,0.345,true
5o%6&&CK,iv%$&)ed,same_employer,0.522,true
5o%6&&CK,9SL$0(Jb,guarantor,0.971,true
5o%6&&CK,gSk8%&Jj,co_borrower,0.802,true
F%kjDyjj,iS<Fnqx8,co_borrower,0.765,true
F%kjDyjj,FS<@jB1K,same_branch,0.209,true
F%kjDyjj,iSc*V%j8,guarantor,0.959,true
5XcFm$Cj,5Sk$D$80,same_branch,0.257,true
5XcFm$Cj,Nm<F0%$8,co_borrower,0.746,true
5XcFm$Cj,5SkF0%e8,same_employer,0.301,true
5%($VBC2,5X%zS$C0,co_borrower,0.934,true
5%($VBC2,5X%zj$(0,same_branch,0.141,true
5%($VBC2,m!<g&$z0,co_borrower,0.733,true
5%($VBC2,F%kmD%CK,same_branch,0.192,true
5%($VBC2,g%cFD(10,co_borrower,0.843,true
9XymSrjK,5%<@m78&,same_employer,0.431,true
9XymSrjK,Mv%zbr1M,co_borrower,0.734,true
9XymSrjK,g%<Fn(C8,same_employer,0.352,true
gX<6nyJ&,gXcFjyz2,co_borrower,0.829,true
gX<6nyJ&,5!(zm7ed,same_branch,0.119,true
gX<6nyJ&,F%kjDBzd,co_borrower,0.872,true
gX<6nyJ&,5vkzbrjM,guarantor,0.907,true
gX<6nyJ&,5S%6byx&,co_borrower,0.892,true
5XFF%BC2,9S<Fj%ej,guarantor,0.951,true
5XFF%BC2,gvyF0BCd,co_borrower,0.809,true
5XFF%BC2,5X<*&7$K,co_borrower,0.866,true
5XFF%BC2,5X<FVBx0,co_borrower,0.764,true
5oy6nyJM,5XkFSB$b,guarantor,0.938,true
5oy6nyJM,5X%@&r$K,co_borrower,0.797,true
5oy6nyJM,5&yFbB1&,same_employer,0.378,true
5oy6nyJM,F%<zV&xK,guarantor,0.867,true
5oy6nyJM,gv%jj&8&,co_borrower,0.909,true
5!y6m)13,FX<g0$jM,co_borrower,0.922,true
5!y6m)13,5Xy*S7xM,co_borrower,0.895,true
5!y6m)13,5<czD$Jd,co_borrower,0.753,true
5!y6m)13,5SFz07jb,co_borrower,0.89,true
5XLjm)j8,5X%zVB8j,same_employer,0.334,true
5XLjm)j8,F!$jn)zb,guarantor,0.96,true
5XLjm)j8,5%%80qx&,same_employer,0.427,true
5X<*&%e2,5Xy*S$C&,same_employer,0.398,true
5X<*&%e2,mmFz0yz0,co_borrower,0.768,true
5X<*&%e2,5X%@D(Jj,co_borrower,0.755,true
5X<*&%e2,m<F$m)8d,co_borrower,0.768,true
5X$zn$e2,5SLFb&z2,same_employer,0.364,true
5X$zn$e2,5!(z%)Jd,same_employer,0.305,true
5X$zn$e2,gvLFV%JM,same_employer,0.533,true
5X$zn$e2,gXkmbr(0,co_borrower,0.771,true
5m$@Dyx8,mS<m%&ed,guarantor,0.861,true
5m$@Dyx8,5X<m&(Cd,same_branch,0.273,true
5m$@Dyx8,gXkz0rJd,same_branch,0.329,true
5m$@Dyx8,Fo%m0B(b,guarantor,0.813,true
5m$@Dyx8,gS$8jq1M,same_branch,0.286,true
5X%8V&JK,5o<Fn)(d,same_branch,0.274,true
5X%8V&JK,gSL8nBJj,co_borrower,0.859,true
5X%8V&JK,5%<m&$CM,same_branch,0.206,true
5X%8V&JK,5!%zbyJd,same_employer,0.474,true
5mcg0)(b,jmyj0&e2,co_borrower,0.755,true
5mcg0)(b,mm%F%)8&,same_employer,0.304,true
5mcg0)(b,5X<@b%$d,guarantor,0.835,true
5m<6S)x&,FS<@D(z2,same_branch,0.35,true
5m<6S)x&,g!F$n7(&,same_employer,0.393,true
5m<6S)x&,Fo%m0reb,co_borrower,0.797,true
5%(@j)z0,5XkF%$e3,co_borrower,0.776,true
5%(@j)z0,5!Hzj%(&,same_branch,0.288,true
5%(@j)z0,5X%$jBC3,same_employer,0.525,true
5oczDrjd,M!<FDB8M,co_borrower,0.732,true
5oczDrjd,iX<znyxj,co_borrower,0.754,true
5oczDrjd,9Xy8&r$8,same_branch,0.177,true
gXkzV7zd,5XH8nqj0,co_borrower,0.859,true
gXkzV7zd,MXy6V)Cb,guarantor,0.836,true
gXkzV7zd,5X%6&$jM,guarantor,0.844,true
gXkzV7zd,M&(8&($K,guarantor,0.813,true
5m$6VBJ0,g!c8j%J3,guarantor,0.909,true
5m$6VBJ0,g%cFD(10,co_borrower,0.8,true
5m$6VBJ0,5XkF&7(K,same_employer,0.427,true
5m$6VBJ0,5X%mm&10,guarantor,0.816,true
5m$6VBJ0,FX<$V&1K,co_borrower,0.894,true
im<mnq8b,gmcF%$J3,co_borrower,0.883,true
im<mnq8b,5%LF%&Cb,same_employer,0.548,true
im<mnq8b,9!y6V7xd,same_employer,0.327,true
im<mnq8b,5!yjD%$K,co_borrower,0.941,true
5%%$D(18,5!L6Dqej,co_borrower,0.826,true
5%%$D(18,5#kFj($K,guarantor,0.891,true
5%%$D(18,5&%zSr$8,same_employer,0.404,true
5oLzm%x8,5oH$V7(b,same_employer,0.583,true
5oLzm%x8,5!(*mB(j,same_branch,0.303,true
5oLzm%x8,X#HFm%xd,same_employer,0.427,true
5S<jmB8b,5%$j&rj3,same_branch,0.187,true
5S<jmB8b,5S(Fb%jM,co_borrower,0.911,true
5S<jmB8b,F%k@0(C0,guarantor,0.803,true
5S<jmB8b,j&kFD)Jj,guarantor,0.824,true
5vy6jq(d,i<$F0B8&,co_borrower,0.939,true
5vy6jq(d,5m%Fb%JK,guarantor,0.833,true
5vy6jq(d,5XymVrCj,co_borrower,0.725,true
5SL8Sqe&,5o<@m788,co_borrower,0.927,true
5SL8Sqe&,m<H6n7$8,guarantor,0.83,true
5SL8Sqe&,5m%gS$j&,co_borrower,0.819,true
5SL8Sqe&,MS%Fj&8&,guarantor,0.904,true
5SL8Sqe&,Fo<$&qxK,guarantor,0.958,true
Nm%Fm)J8,iScmmy$j,co_borrower,0.945,true
Nm%Fm)J8,5X<Fj&JK,guarantor,0.85,true
Nm%Fm)J8,5&%z07z&,co_borrower,0.792,true
Nm%Fm)J8,F%$zD$1K,co_borrower,0.848,true
gX(z&rJ&,5<y6D$J3,same_employer,0.598,true
gX(z&rJ&,Xv%jmyxM,co_borrower,0.734,true
gX(z&rJ&,g<yFjB$&,same_branch,0.172,true
gX(z&rJ&,m%(z&Bxd,same_employer,0.464,true
gX(z&rJ&,gm%Fj&Cj,guarantor,0.847,true
X!<6%rz8,goFF%qzj,guarantor,0.858,true
X!<6%rz8,5Xk$%%$8,same_employer,0.551,true
X!<6%rz8,5S%$S)e8,co_borrower,0.757,true
X!<6%rz8,5%<F%rJK,same_employer,0.564,true
X!<6%rz8,5Xy*S%z8,co_borrower,0.947,true
5&<F%qzb,5&kj0&eb,guarantor,0.975,true
5&<F%qzb,Xv%jmyxM,guarantor,0.983,true
5&<F%qzb,9S<$&&JM,same_branch,0.294,true
5mF@&)$&,9X$$0$JM,same_branch,0.104,true
5mF@&)$&,5Xy*n7(j,co_borrower,0.933,true
5mF@&)$&,5v$gmyC0,guarantor,0.9,true
5mF@&)$&,iSLgmyeM,guarantor,0.936,true
5mF@&)$&,5okj&($b,co_borrower,0.852,true
5%<8ny18,9%HFj7$8,co_borrower,0.746,true
5SH*%7z2,5o<*%qC3,co_borrower,0.772,true
Xv%6nqJ2,M#<F0qe&,co_borrower,0.775,true
5%F$%yj2,MoHFmyJ&,co_borrower,0.912,false
5%<8%qCM,5SL@VrJd,co_borrower,0.787,true
5o%Fmq18,5#(6D7CK,co_borrower,0.844,true
iSLFj)$0,5Xk$%yjb,co_borrower,0.804,true
5X<6Dq$8,F%kjDBjd,co_borrower,0.91,false
5X%j&(zM,gXkmbr(K,co_borrower,0.94,true
5Xk6jq$M,9Xym%&xK,co_borrower,0.893,true
5!cFSrx0,F%<80%JM,co_borrower,0.926,true
5XFFbyj3,5XH8DrCM,co_borrower,0.764,false
5X<g%%$0,g#cmb(18,co_borrower,0.794,true
5m<zm%xb,5%$jm(83,co_borrower,0.816,false
gX(FDrx&,5X<*&q18,co_borrower,0.744,true
5SFz&71d,5#k6m&Cj,co_borrower,0.8,true
F%yFm(18,Fo<jmyzd,co_borrower,0.825,false
5!cFSqJ&,5X%jb$eb,co_borrower,0.779,true
5mFjm%$2,F!yFb($b,co_borrower,0.944,true
goLFn7e2,g<HFj%C2,co_borrower,0.943,false
5mLg0&J2,5X<j0%Jd,co_borrower,0.72,true
gX%gmqjd,9Xy80$82,co_borrower,0.818,true
Xmczn$J0,5&(FDyJM,co_borrower,0.785,true
5oH@0%C8,5XymbBeM,co_borrower,0.948,false
5Sk$bBzj,5X%z0$e0,co_borrower,0.78,true
iS<8Dq$&,gmkjjq8b,co_borrower,0.842,true
M#LgS(1M,5m<$SB88,co_borrower,0.746,false
5!%$0&8j,m<HgbBxK,co_borrower,0.812,false
5vHzn&8b,F#yFjr1K,co_borrower,0.941,false
N!<@V($3,5ok@%)82,co_borrower,0.703,false
gS$*V)(&,5<<zS%1j,co_borrower,0.882,true
5o<*D&12,gXFgS(J&,co_borrower,0.807,true
5Xy*V%88,M#<F0BCb,co_borrower,0.747,true
FS<@jBjM,FX(FbB1M,co_borrower,0.786,true
iSLFj)$0,5XyzD7C3,co_borrower,0.748,true
5Xc@&$e3,F&%Fj(12,co_borrower,0.746,true
goLFbrC8,iX<$&%Cj,co_borrower,0.787,true
5XyFbq8j,5Xk6%rjd,co_borrower,0.813,true
5X%$jBC3,5ok$%$J0,co_borrower,0.9,false
5XkzV&1K,X<$Fm7e&,co_borrower,0.785,false
m<F60%$&,g%kgnrjM,co_borrower,0.82,false
5XL*Dy$3,5!F$&)$M,co_borrower,0.834,true
5Xkzmyx3,5X<6D7e8,co_borrower,0.878,true
F%y6b(z8,5m$8Sqj2,co_borrower,0.744,true
5XFzVrj&,gX(jjq88,co_borrower,0.767,true
g#cmb(18,g%%gbyC2,co_borrower,0.742,true
5%(8Dq8M,5X%zSqz2,co_borrower,0.722,false
FvHF&B$j,5X%mb%xj,co_borrower,0.751,true
iXFFn&e2,5%$6%r(j,co_borrower,0.915,true
5mc6D)1b,5!(*mB(j,co_borrower,0.901,false
9!y*0r1b,5m%mny$d,co_borrower,0.918,true
g%cFj&8K,NXLz%%$M,co_borrower,0.884,true
5oHmSq8j,5S<@&%x0,co_borrower,0.896,true
5X<$brC0,5S$FD718,co_borrower,0.776,true
5!L6Dy$K,gX(F&yJ3,co_borrower,0.772,true
FX%@Vqjb,Mm<zj&CK,co_borrower,0.931,true
5v<@0yx3,N<<F&yxj,co_borrower,0.906,true
5<czD$Jd,5o(zS($0,co_borrower,0.859,true
9!yz%)Cd,MXymb$zK,co_borrower,0.735,true
5%czSr$8,iSLF0$z2,co_borrower,0.813,false
5X%j%$$M,5!yF%)(8,co_borrower,0.935,true
5o%zVq1K,5X<@0q1K,co_borrower,0.919,false
5!Hz07eM,5X%gb&Cj,co_borrower,0.838,true
5X<6SB$8,FX(Fn(x8,co_borrower,0.915,false
Fo%mj%$M,5!L6jrCM,co_borrower,0.704,true
5m<jmqe&,F%<60)Jb,co_borrower,0.705,true
5mkFD$z3,g#kzjyjM,co_borrower,0.744,false
F%k$D)8b,5m%6%7$0,co_borrower,0.817,false
5!ygm)JK,5v%z0qeb,co_borrower,0.744,true
5XkFDr1M,5X%z%$eb,co_borrower,0.711,true
5okj&($b,5v%$m(C&,co_borrower,0.838,true
mm%FS71&,gX(m&yJ0,co_borrower,0.915,false
5oyzVrJj,F%y$&%eM,co_borrower,0.741,true
5!L6mqJ&,5%<8Sqj3,co_borrower,0.733,false
5X%$jrjK,5X<FmB1M,co_borrower,0.72,true
5Xkjm7$K,m<HgbBxK,co_borrower,0.705,false
g!ygm7e0,X&<FV$j&,co_borrower,0.768,true
F%kj%q$b,im<mnr8K,co_borrower,0.893,false
5S(gb712,5%Fj07(b,co_borrower,0.888,true
5SFF%qeb,iX<$&rxd,co_borrower,0.717,true
5X<zDqC0,gok60$z2,co_borrower,0.831,false
gSkz0%jj,gmkFm(CK,co_borrower,0.771,true
5X$$0rJ3,5o<FDrej,co_borrower,0.718,true
gX(jj((b,g!%$mrx8,co_borrower,0.79,true
5Xk8mrz8,5X%mjq1&,co_borrower,0.842,false
5vFFV($3,5Xkj&rz8,co_borrower,0.868,true
5!%zn&j2,M&(8S(J2,co_borrower,0.853,true
m%k@Syjd,FvHFVB80,co_borrower,0.843,false
5XF$Dqzb,g!<$VyJ&,co_borrower,0.936,true
5oHg%BxM,5%%$D(18,co_borrower,0.888,false
9!y8Sy$M,5SF@0&Jb,co_borrower,0.893,false
5X(zm7j0,5XL6DB$0,co_borrower,0.768,true
gvy6mr82,gSHFVyeb,co_borrower,0.911,true
5X%j0)1b,5X<m0&$d,co_borrower,0.907,true
mm($%rxd,gvcF&%jK,co_borrower,0.776,false
5!k$m)ej,5Xk6&78b,co_borrower,0.822,true
9%kFj)(M,5XH6nq$8,co_borrower,0.915,true
g%cFD&1d,5v$gm$jK,co_borrower,0.872,true
5X<zD)zK,5Xkzj&8&,co_borrower,0.887,true
F<<FS&e&,gS($0yjd,co_borrower,0.842,true
gX(6D%(K,5X<6%7Jj,co_borrower,0.816,true
5X%j&(zM,5X%Fmrx8,co_borrower,0.744,true
5%<zb&jd,Nm<Fj%$2,co_borrower,0.809,true
5vkjm)$3,F%y6n&1b,co_borrower,0.902,true
5X<$j&1&,g!(z0B1&,co_borrower,0.736,true
